iter	MultiClass
0	1.336890522
1	1.29324897
2	1.255511269
3	1.217881343
4	1.184747035
5	1.155579584
6	1.125059642
7	1.100840854
8	1.077505534
9	1.05661434
10	1.037028402
11	1.016394668
12	0.9988997495
13	0.9839971943
14	0.9655917954
15	0.9517768119
16	0.9399721323
17	0.9259761078
18	0.9150923961
19	0.9044004942
20	0.8925976723
21	0.8805452406
22	0.8693154616
23	0.85848892
24	0.8469750321
25	0.8364786094
26	0.827531367
27	0.8184464196
28	0.8106128251
29	0.8024564564
30	0.794617964
31	0.7866776073
32	0.7782967608
33	0.7723716239
34	0.7656851611
35	0.7579650642
36	0.7499969509
37	0.7425527644
38	0.7371909574
39	0.7305253188
40	0.7232423356
41	0.7184693287
42	0.7115553726
43	0.7070337678
44	0.7001201942
45	0.6956725829
46	0.689630448
47	0.6848538579
48	0.6806919562
49	0.6738280425
50	0.6687470819
51	0.664947434
52	0.6610189882
53	0.6563900898
54	0.6525858787
55	0.6477454692
56	0.6438937888
57	0.6390611854
58	0.634750976
59	0.6298308436
60	0.6271820576
61	0.6237199718
62	0.6192122671
63	0.6148189032
64	0.6107092559
65	0.6060006088
66	0.6031146326
67	0.5993427849
68	0.5947868386
69	0.5902893908
70	0.5867304911
71	0.5827365263
72	0.5785571954
73	0.5742060208
74	0.5703365217
75	0.566896943
76	0.5618766341
77	0.5589353691
78	0.5539576954
79	0.5498844059
80	0.5472873094
81	0.5432888141
82	0.5402672398
83	0.536636492
84	0.5339674037
85	0.5305992604
86	0.5275942798
87	0.5236025832
88	0.5197835872
89	0.5165540255
90	0.5127044867
91	0.5081676555
92	0.5050034909
93	0.5022655779
94	0.4989645384
95	0.4960038099
96	0.4923227997
97	0.488416184
98	0.4846639875
99	0.481119936
100	0.4778208497
101	0.4754063764
102	0.4732254598
103	0.4694856046
104	0.465965071
105	0.4638060246
106	0.4611280478
107	0.4576120044
108	0.4550419045
109	0.4512522057
110	0.448201543
111	0.4457286663
112	0.442481704
113	0.4390990291
114	0.4367348427
115	0.4337196413
116	0.4307362446
117	0.427800735
118	0.4242789232
119	0.4212080575
120	0.4187864672
121	0.4157684405
122	0.4128589361
123	0.4103154921
124	0.4083897026
125	0.4060301866
126	0.403548176
127	0.4006086754
128	0.3983989232
129	0.3951677362
130	0.3929016047
131	0.3908599568
132	0.3885328288
133	0.3858714561
134	0.3834123561
135	0.3801611366
136	0.3777812134
137	0.3746022397
138	0.3727774666
139	0.3703128253
140	0.3673189647
141	0.3651743498
142	0.3630579173
143	0.3610762504
144	0.3590529274
145	0.3570945175
146	0.3547546679
147	0.3523577876
148	0.3498891635
149	0.3472463337
150	0.3457952172
151	0.3434246532
152	0.3416735432
153	0.3391693862
154	0.3367312321
155	0.3345335805
156	0.3319271444
157	0.3304728451
158	0.3285874738
159	0.3260071256
160	0.3236395837
161	0.3216282035
162	0.3199048985
163	0.3181468646
164	0.3159310189
165	0.3138307187
166	0.3122395392
167	0.3103502092
168	0.3080832657
169	0.3054558669
170	0.3034321377
171	0.3021669755
172	0.3006014657
173	0.2985470507
174	0.296662108
175	0.2951490405
176	0.2935971479
177	0.2920045762
178	0.2903407503
179	0.2881678855
180	0.2862844486
181	0.2848706318
182	0.2836850164
183	0.2816051043
184	0.2806768641
185	0.2790405226
186	0.2773343217
187	0.2756096953
