iter	Passed	Remaining
0	329	329515
1	611	305135
2	912	303413
3	1170	291380
4	1447	287957
5	1728	286387
6	1998	283444
7	2287	283661
8	2641	290858
9	2915	288680
10	3174	285436
11	3448	283904
12	3693	280400
13	3970	279626
14	4226	277569
15	4497	276586
16	4748	274570
17	5005	273083
18	5280	272632
19	5541	271556
20	5791	269998
21	6042	268610
22	6337	269225
23	6599	268369
24	6861	267599
25	7133	267215
26	7401	266724
27	7682	266707
28	7968	266793
29	8285	267901
30	8557	267502
31	8840	267424
32	9108	266913
33	9399	267060
34	9661	266387
35	9919	265623
36	10184	265069
37	10465	264930
38	10721	264190
39	10978	263473
40	11232	262725
41	11521	262789
42	11790	262402
43	12078	262427
44	12343	261964
45	12602	261370
46	12875	261072
47	13124	260300
48	13402	260127
49	13669	259715
50	14142	263160
51	14616	266476
52	15027	268516
53	15548	272378
54	15926	273653
55	16398	276436
56	16799	277920
57	17115	277978
58	17491	278969
59	17805	278957
60	18164	279617
61	18474	279506
62	18906	281193
63	19178	280484
64	19460	279931
65	19757	279603
66	20021	278807
67	20265	277754
68	20506	276685
69	20744	275605
70	20991	274663
71	21244	273816
72	21494	272947
73	21733	271960
74	22012	271489
75	22265	270701
76	22521	269965
77	22759	269025
78	23017	268341
79	23297	267916
80	23564	267356
81	23824	266718
82	24076	266002
83	24315	265159
84	24576	264557
85	24843	264033
86	25094	263352
87	25380	263037
88	25674	262802
89	25963	262521
90	26235	262065
91	26486	261409
92	26752	260909
93	27006	260300
94	27264	259726
95	27537	259312
96	27824	259023
97	28084	258491
98	28360	258108
99	28624	257617
100	28918	257399
101	29186	256957
102	29435	256348
103	29677	255682
104	29924	255070
105	30176	254505
106	30466	254269
107	30761	254065
108	31052	253834
109	31333	253518
110	31613	253195
111	31882	252784
112	32153	252394
113	32425	252007
114	32680	251496
115	32954	251135
116	33226	250761
117	33488	250314
118	33742	249810
119	34023	249505
120	34275	248994
121	34531	248513
122	34802	248143
123	35085	247863
124	35350	247454
125	35604	246968
126	35862	246517
127	36111	246006
128	36381	245645
129	36624	245103
130	36868	244573
131	37142	244238
132	37405	243837
133	37663	243404
134	37922	242982
135	38169	242489
136	38436	242121
137	38693	241694
138	38949	241261
139	39202	240818
140	39455	240372
141	39703	239898
142	39956	239462
143	40214	239053
144	40478	238683
145	40747	238342
146	40989	237850
147	41229	237349
148	41507	237066
149	41776	236731
150	42049	236426
151	42301	235998
152	42567	235650
153	42810	235178
154	43085	234884
155	43331	234434
156	43588	234044
157	43858	233726
158	44117	233350
159	44392	233060
160	44653	232695
161	44922	232375
162	45185	232024
163	45454	231706
164	45707	231308
165	45973	230974
166	46214	230518
167	46481	230195
168	46734	229802
169	46987	229407
170	47238	229011
171	47499	228658
172	47742	228225
173	48009	227906
174	48258	227503
175	48520	227165
176	48774	226789
177	49093	226712
178	49341	226308
179	49646	226167
180	49896	225772
181	50151	225406
182	50458	225269
183	50720	224936
184	50983	224602
185	51238	224239
186	51500	223903
187	51752	223528
188	52006	223158
189	52277	222867
190	52531	222501
191	52771	222081
192	53015	221677
193	53288	221393
194	53535	221003
195	53780	220611
196	54053	220331
197	54322	220033
198	54595	219755
199	54845	219382
200	55101	219035
201	55354	218676
202	55615	218353
203	55864	217979
204	56109	217596
205	56364	217247
206	56618	216901
207	56879	216581
208	57143	216271
209	57385	215877
210	57641	215542
211	57910	215253
212	58173	214942
213	58423	214584
214	58689	214284
215	58950	213968
216	59201	213614
217	59447	213248
218	59712	212948
219	59961	212590
220	60218	212262
221	60483	211964
222	60727	211594
223	60974	211232
224	61247	210964
225	61507	210649
226	61763	210322
227	62028	210025
228	62287	209711
229	62555	209424
230	62823	209138
231	63078	208812
232	63326	208462
233	63588	208155
234	63872	207925
235	64129	207605
236	64388	207291
237	64659	207018
238	64915	206696
239	65160	206342
240	65443	206107
241	65699	205785
